target,pocket,cid,name,smiles,mw,logp,affinity,ligand_eff,affinity_rank,le_rank,composite,confidence
BpeB,1,5379,1-cyclopropyl-6-fluoro-8-methoxy-7-(3-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid,CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,375.4,1.98,-0.002646,-0.0007,1.0,1.0,1.0,0.043
BpeB,1,60464,"5-amino-1-cyclopropyl-7-[(3R,5S)-3,5-dimethylpiperazin-1-yl]-6,8-difluoro-4-oxoquinoline-3-carboxylic acid",C[C@@H]1CN(C[C@@H](N1)C)C2=C(C(=C3C(=C2F)N(C=C(C3=O)C(=O)O)C4CC4)N)F,392.4,2.082,-0.000332,-0.0001,2.0,3.0,2.4000000000000004,0.087
BpeB,1,60021,"1-(2,4-difluorophenyl)-6-fluoro-7-(3-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid",CC1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=C(C=C(C=C4)F)F)F,417.4,2.904,-0.0002925,-0.0001,3.0,3.0,3.0,0.13
BpeB,1,71335,"1-cyclopropyl-6-fluoro-7-[(1S,4S)-5-methyl-2,5-diazabicyclo[2.2.1]heptan-2-yl]-4-oxoquinoline-3-carboxylic acid",CN1C[C@@H]2C[C@H]1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F,357.4,2.066,-0.0002158,-0.0001,4.0,3.0,3.6,0.174
BpeB,1,60605,"1-cyclopropyl-7-[(3S,5R)-3,5-dimethylpiperazin-1-yl]-5,6,8-trifluoro-4-oxoquinoline-3-carboxylic acid",C[C@@H]1CN(C[C@@H](N1)C)C2=C(C3=C(C(=C2F)F)C(=O)C(=CN3C4CC4)C(=O)O)F,395.4,2.639,-0.0001952,-0.0,5.0,14.0,8.600000000000001,0.217
BpeB,1,65958,1-cyclopropyl-6-fluoro-8-methoxy-7-[3-(methylamino)piperidin-1-yl]-4-oxoquinoline-3-carboxylic acid,CNC1CCCN(C1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,389.4,2.37,-0.0001696,-0.0,6.0,14.0,9.2,0.261
BpeB,1,3948,"1-ethyl-6,8-difluoro-7-(3-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid",CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,351.35,1.796,-0.0001232,-0.0,7.0,14.0,9.8,0.304
BpeB,1,2764,1-cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,331.34,1.583,-0.0001064,-0.0,8.0,14.0,10.4,0.348
BpeB,1,3357,"6,8-difluoro-1-(2-fluoroethyl)-7-(4-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid",CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F,369.34,1.699,-9.045e-05,-0.0,9.0,14.0,11.0,0.391
BpeB,1,58258,"7-fluoro-6-(4-methylpiperazin-1-yl)-10-oxo-4-thia-1-azatricyclo[7.3.1.05,13]trideca-5(13),6,8,11-tetraene-11-carboxylic acid",CN1CCN(CC1)C2=C(C=C3C4=C2SCCN4C=C(C3=O)C(=O)O)F,363.4,1.696,-5.968e-05,-0.0,10.0,14.0,11.600000000000001,0.435
BpeB,1,56206,6-fluoro-1-(4-fluorophenyl)-7-(4-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid,CN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=CC=C(C=C4)F)F,399.4,2.719,-4.876e-05,-0.0,11.0,14.0,12.2,0.478
BpeB,1,65947,"6-fluoro-1-methyl-7-[4-[(5-methyl-2-oxo-1,3-dioxol-4-yl)methyl]piperazin-1-yl]-4-oxo-1H-[1,3]thiazeto[3,2-a]quinoline-3-carboxylic acid",CC1N2C3=CC(=C(C=C3C(=O)C(=C2S1)C(=O)O)F)N4CCN(CC4)CC5=C(OC(=O)O5)C,461.5,2.64,-6.968e-06,-0.0,12.0,14.0,12.8,0.522
BpeB,1,56208,6-fluoro-1-(4-fluorophenyl)-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid,C1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=CC=C(C=C4)F)F,385.4,2.377,-4.827e-06,-0.0,13.0,14.0,13.4,0.565
