target,pocket,cid,name,smiles,mw,logp,affinity,ligand_eff,affinity_rank,le_rank,composite,confidence,explanation
LipL32,1,56208,6-fluoro-1-(4-fluorophenyl)-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid,C1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=CC=C(C=C4)F)F,385.4,2.377,-10.46,-2.7141,1.0,4.0,2.2,0.042,"[LipL32] Leptospira outer membrane lipoprotein — key target in leptospirosis. Compound '6-fluoro-1-(4-fluorophenyl)-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid' (MW=385.4 Da, logP=2.377) shows strong binding (ΔG=-10.46 kcal/mol) at pocket 1 with high ligand efficiency (LE=-2.7141). Confidence: 4%."
LipL32,1,56206,6-fluoro-1-(4-fluorophenyl)-7-(4-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid,CN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=CC=C(C=C4)F)F,399.4,2.719,-10.04,-2.5138,2.0,9.0,4.8,0.083,"[LipL32] Leptospira outer membrane lipoprotein — key target in leptospirosis. Compound '6-fluoro-1-(4-fluorophenyl)-7-(4-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid' (MW=399.4 Da, logP=2.719) shows strong binding (ΔG=-10.04 kcal/mol) at pocket 1 with high ligand efficiency (LE=-2.5138). Confidence: 8%."
LipL32,1,4410,"7-fluoro-8-(4-hydroxypiperidin-1-yl)-12-methyl-4-oxo-1-azatricyclo[7.3.1.05,13]trideca-2,5,7,9(13)-tetraene-3-carboxylic acid",CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2N4CCC(CC4)O)F)C(=O)O,360.4,2.307,-10.0,-2.7747,3.0,2.0,2.5999999999999996,0.125,"[LipL32] Leptospira outer membrane lipoprotein — key target in leptospirosis. Compound '7-fluoro-8-(4-hydroxypiperidin-1-yl)-12-methyl-4-oxo-1-azatricyclo[7.3.1.05,13]trideca-2,5,7,9(13)-tetraene-3-carboxylic acid' (MW=360.4 Da, logP=2.307) shows strong binding (ΔG=-10.0 kcal/mol) at pocket 1 with high ligand efficiency (LE=-2.7747). Confidence: 12%."
LipL32,1,60464,"5-amino-1-cyclopropyl-7-[(3R,5S)-3,5-dimethylpiperazin-1-yl]-6,8-difluoro-4-oxoquinoline-3-carboxylic acid",C[C@@H]1CN(C[C@@H](N1)C)C2=C(C(=C3C(=C2F)N(C=C(C3=O)C(=O)O)C4CC4)N)F,392.4,2.082,-9.786,-2.4939,4.0,10.0,6.4,0.167,"[LipL32] Leptospira outer membrane lipoprotein — key target in leptospirosis. Compound '5-amino-1-cyclopropyl-7-[(3R,5S)-3,5-dimethylpiperazin-1-yl]-6,8-difluoro-4-oxoquinoline-3-carboxylic acid' (MW=392.4 Da, logP=2.082) shows strong binding (ΔG=-9.786 kcal/mol) at pocket 1 with high ligand efficiency (LE=-2.4939). Confidence: 17%."
LipL32,1,60021,"1-(2,4-difluorophenyl)-6-fluoro-7-(3-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid",CC1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=C(C=C(C=C4)F)F)F,417.4,2.904,-9.677,-2.3184,5.0,17.0,9.8,0.208,"[LipL32] Leptospira outer membrane lipoprotein — key target in leptospirosis. Compound '1-(2,4-difluorophenyl)-6-fluoro-7-(3-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid' (MW=417.4 Da, logP=2.904) shows strong binding (ΔG=-9.677 kcal/mol) at pocket 1 with high ligand efficiency (LE=-2.3184). Confidence: 21%."
LipL32,1,54678924,"(4aS,5aR,12aR)-1,10,11,12a-tetrahydroxy-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide",C1[C@@H]2CC3=C(C(=CC=C3)O)C(=C2C(=O)[C@]4([C@@H]1CC(=O)C(=C4O)C(=O)N)O)O,371.3,0.424,-9.52,-2.564,6.0,7.0,6.4,0.25,"[LipL32] Leptospira outer membrane lipoprotein — key target in leptospirosis. Compound '(4aS,5aR,12aR)-1,10,11,12a-tetrahydroxy-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide' (MW=371.3 Da, logP=0.424) shows strong binding (ΔG=-9.52 kcal/mol) at pocket 1 with high ligand efficiency (LE=-2.564). Confidence: 25%."
LipL32,1,3374,"7-fluoro-12-methyl-4-oxo-1-azatricyclo[7.3.1.05,13]trideca-2,5,7,9(13)-tetraene-3-carboxylic acid",CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,261.25,2.346,-9.408,-3.6011,7.0,1.0,4.6000000000000005,0.292,"[LipL32] Leptospira outer membrane lipoprotein — key target in leptospirosis. Compound '7-fluoro-12-methyl-4-oxo-1-azatricyclo[7.3.1.05,13]trideca-2,5,7,9(13)-tetraene-3-carboxylic acid' (MW=261.25 Da, logP=2.346) shows strong binding (ΔG=-9.408 kcal/mol) at pocket 1 with high ligand efficiency (LE=-3.6011). Confidence: 29%."
LipL32,1,54675758,"(4S,4aS,12aR)-4-(dimethylamino)-1,10,11,12a-tetrahydroxy-6-methyl-3,12-dioxo-4a,5-dihydro-4H-tetracene-2-carboxamide",CC1=C2C=CC=C(C2=C(C3=C1C[C@H]4[C@@H](C(=O)C(=C([C@]4(C3=O)O)O)C(=O)N)N(C)C)O)O,426.4,0.456,-9.271,-2.1742,8.0,21.0,13.2,0.333,"[LipL32] Leptospira outer membrane lipoprotein — key target in leptospirosis. Compound '(4S,4aS,12aR)-4-(dimethylamino)-1,10,11,12a-tetrahydroxy-6-methyl-3,12-dioxo-4a,5-dihydro-4H-tetracene-2-carboxamide' (MW=426.4 Da, logP=0.456) shows strong binding (ΔG=-9.271 kcal/mol) at pocket 1 with high ligand efficiency (LE=-2.1742). Confidence: 33%."
LipL32,1,2764,1-cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,331.34,1.583,-9.102,-2.747,9.0,3.0,6.6,0.375,"[LipL32] Leptospira outer membrane lipoprotein — key target in leptospirosis. Compound '1-cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid' (MW=331.34 Da, logP=1.583) shows strong binding (ΔG=-9.102 kcal/mol) at pocket 1 with high ligand efficiency (LE=-2.747). Confidence: 38%."
LipL32,1,5379,1-cyclopropyl-6-fluoro-8-methoxy-7-(3-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid,CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,375.4,1.98,-9.079,-2.4185,10.0,12.0,10.8,0.417,"[LipL32] Leptospira outer membrane lipoprotein — key target in leptospirosis. Compound '1-cyclopropyl-6-fluoro-8-methoxy-7-(3-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid' (MW=375.4 Da, logP=1.98) shows strong binding (ΔG=-9.079 kcal/mol) at pocket 1 with high ligand efficiency (LE=-2.4185). Confidence: 42%."
